01_Shiroko_Title|ブルーアーカイブ
02_Shiroko_Gachaget|アビドス対策委員会２年生砂狼シロコ。よろしく。
03_Shiroko_Cafe_Act_1|へぇ…。まあまあ広い所だね。適度な運動をするには十分だ。
04_Shiroko_Cafe_Act_2|ふむ…。
06_Shiroko_Cafe_Act_4|先生は放課後は何の仕事をしてるのかな…？
07_Shiroko_Cafe_Act_5|そういえば銃器の点検時間だったね。
08_Shiroko_LogIn_1|やってほしい事があるなら何でも言って。
09_Shiroko_LogIn_2|ようこそ、先生。今日もよろしく。
101_Shiroko_Title|ブルーアーカイブ
102_Shiroko_Gachaget|アビドス対策委員会２年生砂狼シロコ。よろしく。
103_Shiroko_Cafe_Act_1|へぇ…。まあまあ広い所だね。適度な運動をするには十分だ。
104_Shiroko_Cafe_Act_2|ふむ…。
105_Shiroko_Cafe_Act_3_a|次のライディングはどこに行こうか？
106_Shiroko_Cafe_Act_4|先生は放課後は何の仕事をしてるのかな…？
107_Shiroko_Cafe_Act_5|そういえば銃器の点検時間だったね。
108_Shiroko_LogIn_1|やってほしい事があるなら何でも言って。
109_Shiroko_LogIn_2|ようこそ、先生。今日もよろしく。
10_Shiroko_Lobby_1|先生を手伝うためにここにいるよ。
110_Shiroko_Lobby_1|先生を手伝うためにここにいるよ。
111_Shiroko_Lobby_2|（何でそんなにじーっと見てるの？）
112_Shiroko_Lobby_3|…あの、私の顔に何かついてる？
113_Shiroko_Lobby_4|え、ただ顔を見たかっただけ？…そ、そう。
114_Shiroko_Lobby_5|こうやって一緒にいるのも悪くないね。
115_Shiroko_Season_Birthday_Player|誕生日おめでとう。先生。記念として一緒にジョギングでもしない？…嫌なの？
116_Shiroko_Season_Birthday|私の誕生日…覚えてるとは思わなかった。いや、もちろん嬉しい。うん。本当だよ。
117_Shiroko_Season_NewYear|明けましておめでとう、先生。今年もよろしく。
118_Shiroko_Season_Xmas|メリークリスマス。今日は特別な日なんだって。どういう風に特別なのかわからないけど…先生、教えてくれない？
119_Shiroko_Season_Halloween|…ハロウィン。特別な記憶はない。都市はいつも静かだったから。うん。賑やかな都市が見られたらいいね。
11_Shiroko_Lobby_2|（何でそんなにじーっと見てるの？）
120_Shiroko_ExWeapon_Get|私も、少しは強くなったかな？うん、これならみんなの力になれる。
121_Shiroko_MemorialLobby_1|何かやってほしい事ある？
122_Shiroko_MemorialLobby_2|（何を考えてるのか気になる）
123_Shiroko_MemorialLobby_3|（これから何をするつもりだろう…？）
124_Shiroko_MemorialLobby_4|先生を手伝うためにここにいるから。
125_Shiroko_MemorialLobby_5_1|こ、こんなに撫でられても…別に困ることなんて…。
126_Shiroko_MemorialLobby_5_2|こ、こんなに撫でられても…別に困ることなんて…。
127_Shiroko_Formation_In_1|準備できたよ。
128_Shiroko_Formation_In_2|オッケー。参戦する。
129_Shiroko_Formation_Select|うーん……
130_Shiroko_Tactic_Defeat_1|ごめん、私の判断ミスだ。
131_Shiroko_Tactic_Defeat_2|少し…力不足だったか。
132_Shiroko_Tactic_In_1|敵発見。指示を！
133_Shiroko_Tactic_In_2|先生、出撃命令を！
134_Shiroko_Tactic_Victory_1|備えあれば憂いなし。シンプルなルールだ。
135_Shiroko_Tactic_Victory_2|素晴らしい指揮だった、先生。
136_Shiroko_Battle_Buffed_1|ん、ありがと。
138_Shiroko_Battle_Covered_1|遮蔽物、確保。
140_Shiroko_Battle_Damage_2|全く。
